CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
48540,Wheeling WV-OH Metro Area,207,Evangelical Lutheran Church in America,12,2916,5.08,2.09
48540,Wheeling WV-OH Metro Area,388,General Association of Regular Baptist Churches,1,,,
48540,Wheeling WV-OH Metro Area,246,Greek Orthodox Archdiocese of America,2,260,0.45,0.19
48540,Wheeling WV-OH Metro Area,272,"Jehovah's Witnesses",4,688,1.20,0.49
48540,Wheeling WV-OH Metro Area,288,Mennonite Church USA,1,63,0.11,0.05
48540,Wheeling WV-OH Metro Area,300,"National Baptist Convention USA, Inc.",1,150,0.26,0.11
48540,Wheeling WV-OH Metro Area,303,National Spiritualist Association of Churches,1,,,
48540,Wheeling WV-OH Metro Area,500,Non-denominational Christian Churches,20,7450,12.99,5.34
48540,Wheeling WV-OH Metro Area,331,Orthodox Church in America,1,12,0.02,0.01
48540,Wheeling WV-OH Metro Area,355,Presbyterian Church (U.S.A.),32,2248,3.92,1.61
48540,Wheeling WV-OH Metro Area,271,Reform Judaism,1,194,0.34,0.14
48540,Wheeling WV-OH Metro Area,403,Salvation Army,2,272,0.47,0.19
48540,Wheeling WV-OH Metro Area,413,Seventh-day Adventist Church,1,68,0.12,0.05
48540,Wheeling WV-OH Metro Area,419,Southern Baptist Convention,8,1113,1.94,0.80
48540,Wheeling WV-OH Metro Area,435,Unitarian Universalist Association of Congregations,1,36,0.06,0.03
48540,Wheeling WV-OH Metro Area,FGN,United Church of God,1,,,
48540,Wheeling WV-OH Metro Area,449,United Methodist Church,65,10205,17.79,7.31
48540,Wheeling WV-OH Metro Area,454,United Pentecostal Church International,3,,,
48540,Wheeling WV-OH Metro Area,463,Vineyard USA,1,922,1.61,0.66
48540,Wheeling WV-OH Metro Area,467,Wesleyan Church,1,14,0.02,0.01
48580,Whitewater WI Micro Area,019,American Baptist Churches in the USA,3,313,0.71,0.29
48580,Whitewater WI Micro Area,033,Anglican Church in North America,3,,,
48580,Whitewater WI Micro Area,053,Assemblies of God,2,77,0.18,0.07
48580,Whitewater WI Micro Area,056,"Baha'i Faith USA",0,44,0.10,0.04
48580,Whitewater WI Micro Area,081,Catholic Church,8,17373,39.52,16.32
48580,Whitewater WI Micro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
48580,Whitewater WI Micro Area,105,Christian Reformed Church in North America,1,411,0.93,0.39
48580,Whitewater WI Micro Area,111,Church of Christ Scientist,1,,,
48580,Whitewater WI Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,463,1.05,0.43
48580,Whitewater WI Micro Area,167,Churches of Christ,1,70,0.16,0.07
48580,Whitewater WI Micro Area,057,Converge Worldwide / Baptist General Conference,3,,,
48580,Whitewater WI Micro Area,193,Episcopal Church,3,210,0.48,0.20
48580,Whitewater WI Micro Area,201,Evangelical Covenant Church,3,214,0.49,0.20
48580,Whitewater WI Micro Area,203,Evangelical Free Church of America,8,,,
48580,Whitewater WI Micro Area,207,Evangelical Lutheran Church in America,7,3600,8.19,3.38
48580,Whitewater WI Micro Area,243,Grace Gospel Fellowship,1,,,
48580,Whitewater WI Micro Area,272,"Jehovah's Witnesses",3,580,1.32,0.54
48580,Whitewater WI Micro Area,283,Lutheran Church--Missouri Synod,4,2681,6.10,2.52
48580,Whitewater WI Micro Area,255,Lutheran Congregations in Mission for Christ,2,1050,2.39,0.99
48580,Whitewater WI Micro Area,267,Muslim Estimate,1,1184,2.69,1.11
48580,Whitewater WI Micro Area,500,Non-denominational Christian Churches,19,10820,24.61,10.16
48580,Whitewater WI Micro Area,355,Presbyterian Church (U.S.A.),1,245,0.56,0.23
48580,Whitewater WI Micro Area,371,Reformed Church in America,1,52,0.12,0.05
48580,Whitewater WI Micro Area,413,Seventh-day Adventist Church,1,89,0.20,0.08
48580,Whitewater WI Micro Area,435,Unitarian Universalist Association of Congregations,1,9,0.02,0.01
48580,Whitewater WI Micro Area,443,United Church of Christ,9,973,2.21,0.91
48580,Whitewater WI Micro Area,449,United Methodist Church,13,1421,3.23,1.33
48580,Whitewater WI Micro Area,454,United Pentecostal Church International,2,,,
48580,Whitewater WI Micro Area,469,Wisconsin Evangelical Lutheran Synod,5,2086,4.74,1.96
48620,Wichita KS Metro Area,003,African Methodist Episcopal Church,4,1002,0.35,0.15
48620,Wichita KS Metro Area,017,American Baptist Association,2,1138,0.39,0.18
48620,Wichita KS Metro Area,019,American Baptist Churches in the USA,29,3454,1.20,0.53
48620,Wichita KS Metro Area,033,Anglican Church in North America,1,,,
48620,Wichita KS Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,3,1195,0.41,0.18
48620,Wichita KS Metro Area,040,Apostolic Christian Church of America,1,53,0.02,0.01
48620,Wichita KS Metro Area,053,Assemblies of God,24,4436,1.54,0.68
48620,Wichita KS Metro Area,056,"Baha'i Faith USA",1,466,0.16,0.07
48620,Wichita KS Metro Area,059,Baptist Missionary Association of America,1,,,
48620,Wichita KS Metro Area,217,Bible Holiness Church,1,,,
48620,Wichita KS Metro Area,071,"Brethren Church The (Ashland, Ohio)",1,,,
48620,Wichita KS Metro Area,081,Catholic Church,40,82174,28.44,12.69
48620,Wichita KS Metro Area,353,Christian Brethren (Open Plymouth Brethren),4,,,
48620,Wichita KS Metro Area,093,Christian Church (Disciples of Christ),21,3998,1.38,0.62
48620,Wichita KS Metro Area,097,Christian Churches and Churches of Christ,25,17600,6.09,2.72
48620,Wichita KS Metro Area,101,Christian Methodist Episcopal Church,2,510,0.18,0.08
48620,Wichita KS Metro Area,143,Church of Christ Mennonite,5,1045,0.36,0.16
48620,Wichita KS Metro Area,111,Church of Christ Scientist,1,,,
48620,Wichita KS Metro Area,123,Church of God (Anderson Indiana),10,7402,2.56,1.14
48620,Wichita KS Metro Area,127,Church of God (Cleveland Tennessee),4,176,0.06,0.03
48620,Wichita KS Metro Area,133,Church of God (Seventh Day),1,,,
48620,Wichita KS Metro Area,141,Church of God in Christ,18,3460,1.20,0.53
48620,Wichita KS Metro Area,145,Church of God of Prophecy,2,,,
48620,Wichita KS Metro Area,F16,Church of God of the Firstborn,1,,,
48620,Wichita KS Metro Area,151,Church of Jesus Christ of Latter-day Saints,17,9685,3.35,1.50
48620,Wichita KS Metro Area,157,Church of the Brethren,2,156,0.05,0.02
48620,Wichita KS Metro Area,A47,Church of the Living God (Christian Workers for Fellowship),1,,,
48620,Wichita KS Metro Area,165,Church of the Nazarene,27,3069,1.06,0.47
48620,Wichita KS Metro Area,167,Churches of Christ,31,5178,1.79,0.80
48620,Wichita KS Metro Area,172,Communion of Reformed Evangelical Churches,1,,,
48620,Wichita KS Metro Area,173,Community of Christ,2,,,
48620,Wichita KS Metro Area,270,Conservative Judaism,1,135,0.05,0.02
48620,Wichita KS Metro Area,057,Converge Worldwide / Baptist General Conference,1,,,
48620,Wichita KS Metro Area,FF6,Covenant Presbyterian Church,1,,,
48620,Wichita KS Metro Area,193,Episcopal Church,9,2053,0.71,0.32
48620,Wichita KS Metro Area,FG8,Episcopal Missionary Church,1,,,
48620,Wichita KS Metro Area,201,Evangelical Covenant Church,4,373,0.13,0.06
48620,Wichita KS Metro Area,203,Evangelical Free Church of America,12,,,
48620,Wichita KS Metro Area,328,Evangelical Friends Church International,7,1011,0.35,0.16
48620,Wichita KS Metro Area,207,Evangelical Lutheran Church in America,8,1602,0.55,0.25
48620,Wichita KS Metro Area,216,Evangelical Presbyterian Church,2,,,
48620,Wichita KS Metro Area,213,Fellowship of Evangelical Churches,2,541,0.19,0.08
48620,Wichita KS Metro Area,263,Foursquare Gospel International Church of the,5,436,0.15,0.07
48620,Wichita KS Metro Area,221,Free Methodist Church--USA,2,122,0.04,0.02
48620,Wichita KS Metro Area,225,Friends United Meeting,2,292,0.10,0.05
48620,Wichita KS Metro Area,FFR,Full Gospel Christian Assemblies International,1,180,0.06,0.03
48620,Wichita KS Metro Area,388,General Association of Regular Baptist Churches,2,,,
48620,Wichita KS Metro Area,FGM,Grace Communion International,1,,,
48620,Wichita KS Metro Area,246,Greek Orthodox Archdiocese of America,1,55,0.02,0.01
48620,Wichita KS Metro Area,895,Hindu Temples,1,500,0.17,0.08
48620,Wichita KS Metro Area,896,Hindu Yoga and Meditation,1,177,0.06,0.03
48620,Wichita KS Metro Area,264,International Churches of Christ,1,120,0.04,0.02
48620,Wichita KS Metro Area,FE9,International Communion of the Charismatic Episcopal Church,1,,,
48620,Wichita KS Metro Area,272,"Jehovah's Witnesses",19,5118,1.77,0.79
48620,Wichita KS Metro Area,283,Lutheran Church--Missouri Synod,16,6776,2.35,1.05
48620,Wichita KS Metro Area,255,Lutheran Congregations in Mission for Christ,1,36,0.01,0.01
48620,Wichita KS Metro Area,890,Mahayana Buddhist,2,696,0.24,0.11
48620,Wichita KS Metro Area,288,Mennonite Church USA,17,4483,1.55,0.69
48620,Wichita KS Metro Area,290,Metropolitan Community Churches,1,127,0.04,0.02
48620,Wichita KS Metro Area,291,Missionary Church,2,128,0.04,0.02
48620,Wichita KS Metro Area,267,Muslim Estimate,4,380,0.13,0.06
48620,Wichita KS Metro Area,175,National Association of Congregational Christian Churches,3,856,0.30,0.13
48620,Wichita KS Metro Area,223,National Association of Free Will Baptists,3,268,0.09,0.04
48620,Wichita KS Metro Area,301,National Baptist Convention of America Inc.,3,530,0.18,0.08
48620,Wichita KS Metro Area,300,"National Baptist Convention USA, Inc.",3,5750,1.99,0.89
48620,Wichita KS Metro Area,302,National Missionary Baptist Convention Inc.,17,5658,1.96,0.87
48620,Wichita KS Metro Area,500,Non-denominational Christian Churches,110,37600,13.02,5.81
48620,Wichita KS Metro Area,339,Pentecostal Church of God,5,,,
48620,Wichita KS Metro Area,355,Presbyterian Church (U.S.A.),16,2477,0.86,0.38
48620,Wichita KS Metro Area,356,Presbyterian Church in America,3,551,0.19,0.09
48620,Wichita KS Metro Area,371,Reformed Church in America,1,114,0.04,0.02
48620,Wichita KS Metro Area,383,Reformed Presbyterian Church of North America,1,28,0.01,0.00
48620,Wichita KS Metro Area,403,Salvation Army,3,284,0.10,0.04
48620,Wichita KS Metro Area,413,Seventh-day Adventist Church,9,2011,0.70,0.31
48620,Wichita KS Metro Area,419,Southern Baptist Convention,76,28347,9.81,4.38
48620,Wichita KS Metro Area,F54,The local churches,1,,,
48620,Wichita KS Metro Area,891,Theravada Buddhist,5,2730,0.94,0.42
48620,Wichita KS Metro Area,435,Unitarian Universalist Association of Congregations,1,131,0.05,0.02
48620,Wichita KS Metro Area,443,United Church of Christ,4,595,0.21,0.09
48620,Wichita KS Metro Area,FGN,United Church of God,1,,,
48620,Wichita KS Metro Area,449,United Methodist Church,71,27546,9.54,4.25
48620,Wichita KS Metro Area,454,United Pentecostal Church International,3,,,
48620,Wichita KS Metro Area,124,Unity Churches Association of,1,,,
48620,Wichita KS Metro Area,237,US Conference of Mennonite Brethren Churches,4,1363,0.47,0.21
48620,Wichita KS Metro Area,463,Vineyard USA,1,172,0.06,0.03
48620,Wichita KS Metro Area,467,Wesleyan Church,2,115,0.04,0.02
48620,Wichita KS Metro Area,469,Wisconsin Evangelical Lutheran Synod,1,226,0.08,0.03
48660,Wichita Falls TX Metro Area,003,African Methodist Episcopal Church,1,80,0.08,0.05
48660,Wichita Falls TX Metro Area,017,American Baptist Association,1,120,0.12,0.08
48660,Wichita Falls TX Metro Area,033,Anglican Church in North America,3,,,
48660,Wichita Falls TX Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,50,0.05,0.03
48660,Wichita Falls TX Metro Area,053,Assemblies of God,15,4006,3.99,2.70
48660,Wichita Falls TX Metro Area,056,"Baha'i Faith USA",1,74,0.07,0.05
48660,Wichita Falls TX Metro Area,081,Catholic Church,11,24767,24.64,16.72
48660,Wichita Falls TX Metro Area,087,Christadelphian,1,,,
48660,Wichita Falls TX Metro Area,093,Christian Church (Disciples of Christ),6,996,0.99,0.67
48660,Wichita Falls TX Metro Area,097,Christian Churches and Churches of Christ,1,183,0.18,0.12
48660,Wichita Falls TX Metro Area,101,Christian Methodist Episcopal Church,1,90,0.09,0.06
48660,Wichita Falls TX Metro Area,127,Church of God (Cleveland Tennessee),5,359,0.36,0.24
48660,Wichita Falls TX Metro Area,141,Church of God in Christ,3,256,0.25,0.17
48660,Wichita Falls TX Metro Area,145,Church of God of Prophecy,2,,,
48660,Wichita Falls TX Metro Area,151,Church of Jesus Christ of Latter-day Saints,4,1812,1.80,1.22
48660,Wichita Falls TX Metro Area,A47,Church of the Living God (Christian Workers for Fellowship),2,,,
48660,Wichita Falls TX Metro Area,165,Church of the Nazarene,4,557,0.55,0.38
48660,Wichita Falls TX Metro Area,167,Churches of Christ,22,3396,3.38,2.29
48660,Wichita Falls TX Metro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
48660,Wichita Falls TX Metro Area,193,Episcopal Church,1,41,0.04,0.03
48660,Wichita Falls TX Metro Area,207,Evangelical Lutheran Church in America,2,242,0.24,0.16
48660,Wichita Falls TX Metro Area,FFR,Full Gospel Christian Assemblies International,1,90,0.09,0.06
48660,Wichita Falls TX Metro Area,246,Greek Orthodox Archdiocese of America,1,50,0.05,0.03
48660,Wichita Falls TX Metro Area,272,"Jehovah's Witnesses",5,1112,1.11,0.75
48660,Wichita Falls TX Metro Area,283,Lutheran Church--Missouri Synod,5,688,0.68,0.46
48660,Wichita Falls TX Metro Area,290,Metropolitan Community Churches,1,24,0.02,0.02
48660,Wichita Falls TX Metro Area,267,Muslim Estimate,1,391,0.39,0.26
48660,Wichita Falls TX Metro Area,223,National Association of Free Will Baptists,2,67,0.07,0.05
48660,Wichita Falls TX Metro Area,301,National Baptist Convention of America Inc.,1,600,0.60,0.41
48660,Wichita Falls TX Metro Area,300,"National Baptist Convention USA, Inc.",3,780,0.78,0.53
48660,Wichita Falls TX Metro Area,302,National Missionary Baptist Convention Inc.,3,346,0.34,0.23
48660,Wichita Falls TX Metro Area,500,Non-denominational Christian Churches,39,10234,10.18,6.91
48660,Wichita Falls TX Metro Area,335,Orthodox Presbyterian Church,1,,,
48660,Wichita Falls TX Metro Area,339,Pentecostal Church of God,2,,,
48660,Wichita Falls TX Metro Area,355,Presbyterian Church (U.S.A.),3,161,0.16,0.11
48660,Wichita Falls TX Metro Area,361,Primitive Baptists Associations,1,55,0.05,0.04
48660,Wichita Falls TX Metro Area,403,Salvation Army,1,154,0.15,0.10
48660,Wichita Falls TX Metro Area,413,Seventh-day Adventist Church,1,275,0.27,0.19
48660,Wichita Falls TX Metro Area,419,Southern Baptist Convention,60,43608,43.39,29.44
48660,Wichita Falls TX Metro Area,449,United Methodist Church,18,4834,4.81,3.26
48660,Wichita Falls TX Metro Area,454,United Pentecostal Church International,8,,,
48700,Williamsport PA Metro Area,003,African Methodist Episcopal Church,1,202,0.41,0.18
48700,Williamsport PA Metro Area,005,African Methodist Episcopal Zion Church,2,268,0.54,0.23
48700,Williamsport PA Metro Area,019,American Baptist Churches in the USA,9,1466,2.97,1.28
48700,Williamsport PA Metro Area,031,Amish Groups undifferentiated,6,715,1.45,0.63
48700,Williamsport PA Metro Area,053,Assemblies of God,5,539,1.09,0.47
48700,Williamsport PA Metro Area,056,"Baha'i Faith USA",0,17,0.03,0.01
48700,Williamsport PA Metro Area,075,Brethren In Christ Church,1,,,
48700,Williamsport PA Metro Area,081,Catholic Church,9,13226,26.82,11.58
48700,Williamsport PA Metro Area,089,Christian and Missionary Alliance,5,1332,2.70,1.17
48700,Williamsport PA Metro Area,093,Christian Church (Disciples of Christ),1,55,0.11,0.05
48700,Williamsport PA Metro Area,097,Christian Churches and Churches of Christ,7,1127,2.29,0.99
48700,Williamsport PA Metro Area,123,Church of God (Anderson Indiana),1,160,0.32,0.14
48700,Williamsport PA Metro Area,127,Church of God (Cleveland Tennessee),1,15,0.03,0.01
48700,Williamsport PA Metro Area,151,Church of Jesus Christ of Latter-day Saints,1,517,1.05,0.45
48700,Williamsport PA Metro Area,165,Church of the Nazarene,2,124,0.25,0.11
48700,Williamsport PA Metro Area,167,Churches of Christ,1,15,0.03,0.01
48700,Williamsport PA Metro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
48700,Williamsport PA Metro Area,193,Episcopal Church,7,514,1.04,0.45
48700,Williamsport PA Metro Area,328,Evangelical Friends Church International,1,318,0.64,0.28
48700,Williamsport PA Metro Area,207,Evangelical Lutheran Church in America,14,4140,8.39,3.63
48700,Williamsport PA Metro Area,391,Friends General Conference,1,42,0.09,0.04
48700,Williamsport PA Metro Area,FFR,Full Gospel Christian Assemblies International,2,690,1.40,0.60
48700,Williamsport PA Metro Area,388,General Association of Regular Baptist Churches,2,,,
48700,Williamsport PA Metro Area,272,"Jehovah's Witnesses",2,520,1.05,0.46
48700,Williamsport PA Metro Area,F27,Keystone Mennonite Fellowship,1,60,0.12,0.05
48700,Williamsport PA Metro Area,255,Lutheran Congregations in Mission for Christ,1,150,0.30,0.13
48700,Williamsport PA Metro Area,267,Muslim Estimate,1,443,0.90,0.39
48700,Williamsport PA Metro Area,302,National Missionary Baptist Convention Inc.,1,150,0.30,0.13
48700,Williamsport PA Metro Area,309,New Apostolic Church USA,1,,,
48700,Williamsport PA Metro Area,500,Non-denominational Christian Churches,20,8820,17.88,7.72
48700,Williamsport PA Metro Area,314,North American Lutheran Church,1,,,
48700,Williamsport PA Metro Area,331,Orthodox Church in America,1,96,0.19,0.08
48700,Williamsport PA Metro Area,276,Orthodox Judaism,1,60,0.12,0.05
48700,Williamsport PA Metro Area,335,Orthodox Presbyterian Church,2,,,
48700,Williamsport PA Metro Area,355,Presbyterian Church (U.S.A.),7,585,1.19,0.51
48700,Williamsport PA Metro Area,403,Salvation Army,1,88,0.18,0.08
48700,Williamsport PA Metro Area,413,Seventh-day Adventist Church,1,159,0.32,0.14
48700,Williamsport PA Metro Area,419,Southern Baptist Convention,4,836,1.70,0.73
48700,Williamsport PA Metro Area,443,United Church of Christ,1,193,0.39,0.17
48700,Williamsport PA Metro Area,449,United Methodist Church,51,11104,22.51,9.72
48700,Williamsport PA Metro Area,454,United Pentecostal Church International,4,,,
48700,Williamsport PA Metro Area,179,Venture Church Network,1,,,
48700,Williamsport PA Metro Area,467,Wesleyan Church,3,574,1.16,0.50
48780,Williston ND Micro Area,284,American Association of Lutheran Churches,2,,,
48780,Williston ND Micro Area,053,Assemblies of God,3,1253,8.03,3.06
48780,Williston ND Micro Area,220,Association of Free Lutheran Congregations,3,368,2.36,0.90
48780,Williston ND Micro Area,056,"Baha'i Faith USA",0,8,0.05,0.02
48780,Williston ND Micro Area,081,Catholic Church,4,4148,26.59,10.13
48780,Williston ND Micro Area,089,Christian and Missionary Alliance,1,44,0.28,0.11
48780,Williston ND Micro Area,127,Church of God (Cleveland Tennessee),1,,,
48780,Williston ND Micro Area,151,Church of Jesus Christ of Latter-day Saints,4,1840,11.79,4.49
48780,Williston ND Micro Area,163,Church of the Lutheran Brethren of America,1,,,
48780,Williston ND Micro Area,165,Church of the Nazarene,1,80,0.51,0.20
48780,Williston ND Micro Area,167,Churches of Christ,1,55,0.35,0.13
48780,Williston ND Micro Area,193,Episcopal Church,1,21,0.13,0.05
48780,Williston ND Micro Area,203,Evangelical Free Church of America,1,,,
48780,Williston ND Micro Area,207,Evangelical Lutheran Church in America,17,5024,32.20,12.27
48780,Williston ND Micro Area,272,"Jehovah's Witnesses",1,228,1.46,0.56
48780,Williston ND Micro Area,FFJ,Laestadian Lutheran Church,1,,,
48780,Williston ND Micro Area,283,Lutheran Church--Missouri Synod,1,117,0.75,0.29
48780,Williston ND Micro Area,255,Lutheran Congregations in Mission for Christ,1,50,0.32,0.12
48780,Williston ND Micro Area,267,Muslim Estimate,1,5,0.03,0.01
48780,Williston ND Micro Area,308,New Testament Association of Independent Baptist Church,1,,,
48780,Williston ND Micro Area,500,Non-denominational Christian Churches,1,160,1.03,0.39
48780,Williston ND Micro Area,403,Salvation Army,1,21,0.13,0.05
48780,Williston ND Micro Area,413,Seventh-day Adventist Church,1,97,0.62,0.24
48780,Williston ND Micro Area,419,Southern Baptist Convention,1,133,0.85,0.32
48780,Williston ND Micro Area,449,United Methodist Church,1,285,1.83,0.70
48780,Williston ND Micro Area,454,United Pentecostal Church International,2,,,
48780,Williston ND Micro Area,467,Wesleyan Church,1,1628,10.44,3.98
48780,Williston ND Micro Area,469,Wisconsin Evangelical Lutheran Synod,1,36,0.23,0.09
48820,Willmar MN Micro Area,053,Assemblies of God,2,3132,10.61,7.16
48820,Willmar MN Micro Area,220,Association of Free Lutheran Congregations,2,121,0.41,0.28
48820,Willmar MN Micro Area,056,"Baha'i Faith USA",1,25,0.08,0.06
48820,Willmar MN Micro Area,081,Catholic Church,2,5923,20.07,13.54
48820,Willmar MN Micro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
48820,Willmar MN Micro Area,105,Christian Reformed Church in North America,4,1094,3.71,2.50
48820,Willmar MN Micro Area,123,Church of God (Anderson Indiana),1,128,0.43,0.29
48820,Willmar MN Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,325,1.10,0.74
48820,Willmar MN Micro Area,165,Church of the Nazarene,1,93,0.32,0.21
48820,Willmar MN Micro Area,167,Churches of Christ,1,78,0.26,0.18
48820,Willmar MN Micro Area,057,Converge Worldwide / Baptist General Conference,2,,,
48820,Willmar MN Micro Area,201,Evangelical Covenant Church,2,453,1.53,1.04
48820,Willmar MN Micro Area,203,Evangelical Free Church of America,2,,,
48820,Willmar MN Micro Area,207,Evangelical Lutheran Church in America,22,13090,44.35,29.93
48820,Willmar MN Micro Area,263,Foursquare Gospel International Church of the,1,198,0.67,0.45
48820,Willmar MN Micro Area,272,"Jehovah's Witnesses",2,332,1.12,0.76
48820,Willmar MN Micro Area,283,Lutheran Church--Missouri Synod,3,1447,4.90,3.31
48820,Willmar MN Micro Area,267,Muslim Estimate,1,190,0.64,0.43
48820,Willmar MN Micro Area,308,New Testament Association of Independent Baptist Church,1,,,
48820,Willmar MN Micro Area,500,Non-denominational Christian Churches,1,350,1.19,0.80
48820,Willmar MN Micro Area,355,Presbyterian Church (U.S.A.),3,607,2.06,1.39
48820,Willmar MN Micro Area,371,Reformed Church in America,2,389,1.32,0.89
48820,Willmar MN Micro Area,403,Salvation Army,1,25,0.08,0.06
48820,Willmar MN Micro Area,413,Seventh-day Adventist Church,2,276,0.94,0.63
48820,Willmar MN Micro Area,419,Southern Baptist Convention,1,25,0.08,0.06
48820,Willmar MN Micro Area,435,Unitarian Universalist Association of Congregations,1,27,0.09,0.06
48820,Willmar MN Micro Area,449,United Methodist Church,6,825,2.80,1.89
48820,Willmar MN Micro Area,454,United Pentecostal Church International,1,,,
48820,Willmar MN Micro Area,469,Wisconsin Evangelical Lutheran Synod,1,360,1.22,0.82
48900,Wilmington NC Metro Area,001,Advent Christian Church,7,351,0.25,0.12
48900,Wilmington NC Metro Area,003,African Methodist Episcopal Church,21,4634,3.33,1.62
48900,Wilmington NC Metro Area,005,African Methodist Episcopal Zion Church,9,2548,1.83,0.89
48900,Wilmington NC Metro Area,033,Anglican Church in North America,1,,,
48900,Wilmington NC Metro Area,FG3,Anglican Province of America,1,,,
48900,Wilmington NC Metro Area,053,Assemblies of God,4,574,0.41,0.20
48900,Wilmington NC Metro Area,056,"Baha'i Faith USA",0,69,0.05,0.02
48900,Wilmington NC Metro Area,084,Calvary Chapel Fellowship Churches,1,,,
48900,Wilmington NC Metro Area,081,Catholic Church,7,37731,27.13,13.20
48900,Wilmington NC Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
48900,Wilmington NC Metro Area,093,Christian Church (Disciples of Christ),3,0,0.00,0.00
48900,Wilmington NC Metro Area,097,Christian Churches and Churches of Christ,2,105,0.08,0.04
48900,Wilmington NC Metro Area,D83,"Christ's Sanctified Holy Church",1,,,
48900,Wilmington NC Metro Area,F53,Church of God,1,,,
48900,Wilmington NC Metro Area,127,Church of God (Cleveland Tennessee),5,999,0.72,0.35
48900,Wilmington NC Metro Area,141,Church of God in Christ,1,800,0.58,0.28
48900,Wilmington NC Metro Area,145,Church of God of Prophecy,2,,,
48900,Wilmington NC Metro Area,151,Church of Jesus Christ of Latter-day Saints,6,2940,2.11,1.03
48900,Wilmington NC Metro Area,165,Church of the Nazarene,2,142,0.10,0.05
48900,Wilmington NC Metro Area,167,Churches of Christ,4,411,0.30,0.14
48900,Wilmington NC Metro Area,270,Conservative Judaism,1,373,0.27,0.13
48900,Wilmington NC Metro Area,390,Conservative Yearly Meeting of Friends,1,65,0.05,0.02
48900,Wilmington NC Metro Area,FFW,ECO: A Covenant Order of Presbyterians,1,,,
48900,Wilmington NC Metro Area,193,Episcopal Church,10,3778,2.72,1.32
48900,Wilmington NC Metro Area,207,Evangelical Lutheran Church in America,5,1882,1.35,0.66
48900,Wilmington NC Metro Area,216,Evangelical Presbyterian Church,2,,,
48900,Wilmington NC Metro Area,232,Full Gospel Baptist Church Fellowship,2,252,0.18,0.09
48900,Wilmington NC Metro Area,FFR,Full Gospel Christian Assemblies International,2,140,0.10,0.05
48900,Wilmington NC Metro Area,246,Greek Orthodox Archdiocese of America,1,650,0.47,0.23
48900,Wilmington NC Metro Area,896,Hindu Yoga and Meditation,1,177,0.13,0.06
48900,Wilmington NC Metro Area,264,International Churches of Christ,1,51,0.04,0.02
48900,Wilmington NC Metro Area,FE9,International Communion of the Charismatic Episcopal Church,1,,,
48900,Wilmington NC Metro Area,272,"Jehovah's Witnesses",11,3028,2.18,1.06
48900,Wilmington NC Metro Area,283,Lutheran Church--Missouri Synod,1,151,0.11,0.05
48900,Wilmington NC Metro Area,255,Lutheran Congregations in Mission for Christ,1,36,0.03,0.01
48900,Wilmington NC Metro Area,290,Metropolitan Community Churches,1,130,0.09,0.05
48900,Wilmington NC Metro Area,295,Moravian Church in America--Southern Province,1,97,0.07,0.03
48900,Wilmington NC Metro Area,267,Muslim Estimate,3,2033,1.46,0.71
48900,Wilmington NC Metro Area,223,National Association of Free Will Baptists,1,67,0.05,0.02
48900,Wilmington NC Metro Area,300,"National Baptist Convention USA, Inc.",3,800,0.58,0.28
48900,Wilmington NC Metro Area,302,National Missionary Baptist Convention Inc.,16,3580,2.57,1.25
48900,Wilmington NC Metro Area,500,Non-denominational Christian Churches,54,23240,16.71,8.13
48900,Wilmington NC Metro Area,314,North American Lutheran Church,1,,,
48900,Wilmington NC Metro Area,FFH,Old Apostolic Lutheran Church of America,1,,,
48900,Wilmington NC Metro Area,329,Open Bible Churches,1,,,
48900,Wilmington NC Metro Area,331,Orthodox Church in America,1,150,0.11,0.05
48900,Wilmington NC Metro Area,335,Orthodox Presbyterian Church,1,,,
48900,Wilmington NC Metro Area,347,Pentecostal Free Will Baptist Church Inc.,2,,,
48900,Wilmington NC Metro Area,355,Presbyterian Church (U.S.A.),17,4803,3.45,1.68
48900,Wilmington NC Metro Area,356,Presbyterian Church in America,1,128,0.09,0.04
48900,Wilmington NC Metro Area,271,Reform Judaism,1,473,0.34,0.17
48900,Wilmington NC Metro Area,403,Salvation Army,1,164,0.12,0.06
48900,Wilmington NC Metro Area,413,Seventh-day Adventist Church,6,526,0.38,0.18
48900,Wilmington NC Metro Area,419,Southern Baptist Convention,67,23611,16.98,8.26
48900,Wilmington NC Metro Area,F51,Sovereign Grace Churches,1,,,
48900,Wilmington NC Metro Area,435,Unitarian Universalist Association of Congregations,1,328,0.24,0.11
48900,Wilmington NC Metro Area,443,United Church of Christ,1,62,0.04,0.02
48900,Wilmington NC Metro Area,445,United Holy Church of America Inc.,9,362,0.26,0.13
48900,Wilmington NC Metro Area,F58,United House of Prayer,1,114,0.08,0.04
48900,Wilmington NC Metro Area,449,United Methodist Church,21,15977,11.49,5.59
